,season,yr,holiday,workingday,weathersit,temp,hum,windspeed,cnt,days_since_2011
0,1,0,0,0,2,0.344167,0.805833,0.160446,985,0
1,1,0,0,0,2,0.363478,0.696087,0.24853899999999998,801,1
2,1,0,0,1,1,0.196364,0.43727299999999997,0.248309,1349,2
3,1,0,0,1,1,0.2,0.590435,0.160296,1562,3
4,1,0,0,1,1,0.22695700000000002,0.436957,0.1869,1600,4
5,1,0,0,1,1,0.204348,0.518261,0.0895652,1606,5
6,1,0,0,1,2,0.196522,0.49869600000000003,0.168726,1510,6
7,1,0,0,0,2,0.165,0.535833,0.266804,959,7
8,1,0,0,0,1,0.13833299999999998,0.434167,0.36195,822,8
9,1,0,0,1,1,0.150833,0.482917,0.22326700000000002,1321,9
10,1,0,0,1,2,0.16909100000000002,0.6863640000000001,0.12213199999999999,1263,10
11,1,0,0,1,1,0.172727,0.599545,0.304627,1162,11
12,1,0,0,1,1,0.165,0.47041700000000003,0.301,1406,12
13,1,0,0,1,1,0.16087,0.537826,0.126548,1421,13
14,1,0,0,0,2,0.23333299999999998,0.49875,0.15796300000000002,1248,14
15,1,0,0,0,1,0.231667,0.48375,0.188433,1204,15
16,1,0,1,0,2,0.175833,0.5375,0.194017,1000,16
17,1,0,0,1,2,0.216667,0.861667,0.146775,683,17
18,1,0,0,1,2,0.292174,0.741739,0.208317,1650,18
19,1,0,0,1,2,0.261667,0.538333,0.195904,1927,19
20,1,0,0,1,1,0.1775,0.457083,0.353242,1543,20
21,1,0,0,0,1,0.0591304,0.4,0.17197,981,21
22,1,0,0,0,1,0.0965217,0.436522,0.2466,986,22
23,1,0,0,1,1,0.0973913,0.49173900000000004,0.15833,1416,23
24,1,0,0,1,2,0.223478,0.616957,0.129796,1985,24
25,1,0,0,1,3,0.2175,0.8625,0.29385,506,25
26,1,0,0,1,1,0.195,0.6875,0.113837,431,26
27,1,0,0,1,2,0.203478,0.793043,0.1233,1167,27
28,1,0,0,0,1,0.196522,0.6517390000000001,0.14536500000000002,1098,28
29,1,0,0,0,1,0.216522,0.722174,0.0739826,1096,29
